Cleaned_Ancestry,Initial_Ancestry_Sum,Initial_Ancestry_Count,Initial_Ancestry_Sum_%,Initial_Ancestry_Count_%,Replication_Ancestry_Sum,Replication_Ancestry_Count,Replication_Ancestry_Sum_%,Replication_Ancestry_Count_%
Arab,1338.0,8.0,0.0005270110908656925,0.058659627511365296,2120.0,13.0,0.0027923496941711927,0.19501950195019502
African and African Arab,1215.0,4.0,0.0004785638829609988,0.029329813755682648,,,,
Sri Lankan Sinhalese,1154.0,4.0,0.00045453721887818324,0.029329813755682648,,,,
Slavic,1102.0,1.0,0.0004340554724469306,0.007332453438920662,,,,
Chilean Latino,1095.0,2.0,0.00043129831427349274,0.014664906877841324,1643.0,2.0,0.0021640710129826744,0.030003000300030006
Southern European,1090.0,1.0,0.00042932891557818004,0.007332453438920662,1296.0,1.0,0.0017070213224744649,0.015001500150015003
Latin/South American,1050.0,2.0,0.000413573726015678,0.014664906877841324,,,,
Greek and,1010.0,2.0,0.00039781853645317597,0.014664906877841324,,,,
Split,986.0,2.0,0.00038836542271567475,0.014664906877841324,,,,
African Caribbean,929.0,2.0,0.0003659142775891094,0.014664906877841324,7480.0,2.0,0.009852252694528548,0.030003000300030006
Ogliastran,897.0,1.0,0.0003533101259391078,0.007332453438920662,,,,
Ethiopian,895.0,6.0,0.0003525223664609826,0.04399472063352398,433.0,6.0,0.0005703242535736445,0.09000900090009001
Native American South American,875.0,2.0,0.00034464477167973163,0.014664906877841324,,,,
African Arab,853.0,4.0,0.0003359794174203555,0.029329813755682648,,,,
Mongolian,756.0,1.0,0.00029777308273128817,0.007332453438920662,542.0,2.0,0.0007138931765286728,0.030003000300030006
Martu Australian Aboriginal,752.0,3.0,0.00029619756377503794,0.02199736031676199,,,,
Central European,744.0,1.0,0.0002930465258625376,0.007332453438920662,,,,
Tyrolean,696.0,1.0,0.00027414029838753514,0.007332453438920662,,,,
Mixed,688.0,2.0,0.0002709892604750347,0.014664906877841324,,,,
South African Black,637.0,2.0,0.00025090139378284465,0.014664906877841324,10117.0,14.0,0.013325566913174509,0.21002100210021002
Egyptian,631.0,2.0,0.00024853811534846935,0.014664906877841324,574.0,2.0,0.000756041851157672,0.030003000300030006
Thai Chinese,618.0,2.0,0.00024341767874065619,0.014664906877841324,,,,
Papua New Guinean,576.0,2.0,0.0002268747297000291,0.014664906877841324,,,,
Bulgarian,564.0,2.0,0.00022214817283127848,0.014664906877841324,450.0,2.0,0.0005927157369703003,0.030003000300030006
European American and Mexican American,540.0,1.0,0.00021269505909377726,0.007332453438920662,,,,
Vietnamese Korean,518.0,1.0,0.00020402970483440115,0.007332453438920662,,,,
Costa Rican,506.0,2.0,0.00019930314796565054,0.014664906877841324,1778.0,3.0,0.0023418857340737646,0.045004500450045004
Jewish,497.0,2.0,0.0001957582303140876,0.014664906877841324,344.0,2.0,0.00045309825226174066,0.030003000300030006
Isreali Arab,496.0,6.0,0.00019536435057502505,0.04399472063352398,,,,
Middle Eastern/North African,482.0,4.0,0.00018985003422814932,0.029329813755682648,,,,
Taiwanese Han,470.0,2.0,0.0001851234773593987,0.014664906877841324,,,,
European  Mediterranean,418.0,2.0,0.0001646417309281461,0.014664906877841324,,,,
American,415.0,2.0,0.00016346009171095845,0.014664906877841324,,,,
South Asian American,379.0,3.0,0.00014928042110470664,0.02199736031676199,,,,
Venezuelan,374.0,1.0,0.00014731102240939385,0.007332453438920662,,,,
Malaysian Chinese,371.0,2.0,0.0001461293831922062,0.014664906877841324,420.0,2.0,0.0005532013545056136,0.030003000300030006
Russian,366.0,6.0,0.00014415998449689347,0.04399472063352398,3950.0,2.0,0.005202727024517081,0.030003000300030006
Silk Road,348.0,1.0,0.00013707014919376757,0.007332453438920662,5017.0,11.0,0.006608121894177771,0.16501650165016502
Finnish Saami,347.0,1.0,0.000136676269454705,0.007332453438920662,,,,
Maghrebian,346.0,2.0,0.00013628238971564245,0.014664906877841324,,,,
